matchId,round,stage,homeScore,awayScore,winner,decidedBy,source,sourceUrl,status,note
wc2026-g-a-r1-1,1,,2,0,,,manual,,finished,
wc2026-g-a-r1-2,1,,1,1,,,manual,,finished,
